1410.09778    0.89861    0.00763 8388608.00000
1410.42212    1.25309    0.00460 8388608.00000
1410.74744    1.29470    0.01763    0.00000
1411.07190    1.06770    0.06178    0.00000
1411.39722    1.13696    0.07997    0.00000
1411.72205    1.09277    0.08795    0.00000
1412.04749    0.96127    0.09906    0.00000
1412.37231    1.07496    0.10681    0.00000
1412.69739    1.05467    0.10430    0.00000
1413.02307    0.87089    0.10978    0.00000
1413.34814    1.09825    0.09673    0.00000
1413.67407    1.03802    0.09363    0.00000
1413.99927    0.95078    0.09757    0.00000
1414.32532    0.99294    0.10487    0.00000
1414.65076    1.05789    0.10613    0.00000
1414.97607    1.04040    0.09934    0.00000
1415.30249    0.98815    0.09840    0.00000
1415.62805    0.95456    0.10489    0.00000
1415.95435    0.95888    0.10959    0.00000
1416.28015    1.11005    0.10111    0.00000
1416.60669    1.09886    0.09374    0.00000
1416.93274    0.85538    0.09370    0.00000
1417.25867    0.87540    0.09735    0.00000
1417.58545    0.86007    0.10501    0.00000
1417.91150    0.88877    0.11190    0.00000
1418.23840    1.08991    0.10340    0.00000
1418.56482    0.95099    0.10579    0.00000
1418.89185    0.93678    0.10275    0.00000
1419.21838    0.93909    0.10102    0.00000
1419.54480    1.02969    0.09760    0.00000
1419.87219    0.71981    0.00000    0.00000
1420.19873    0.93281    0.10275    0.00000
1420.52625    0.88362    0.10878    0.00000
1420.85303    0.74263    0.00000    0.00000
1421.18079    0.61751    0.00000    0.00000
1421.50757    0.73233    0.00000    0.00000
1421.83472    0.96513    0.09658    0.00000
1422.16248    0.97468    0.09646    0.00000
1422.48975    0.86465    0.10310    0.00000
1422.81775    0.79528    0.00000    0.00000
1423.14502    0.70334    0.00000    0.00000
1423.47327    0.70027    0.00000    0.00000
1423.80066    0.77366    0.00000    0.00000
1424.12830    0.78807    0.00000    0.00000
1424.45654    0.89615    0.09909    0.00000
1424.78430    0.63596    0.00000    0.00000
1425.11292    0.62257    0.00000    0.00000
1425.44067    0.71850    0.00000    0.00000
1425.76941    0.81966    0.10171    0.00000
1426.09741    1.04569    0.09546    0.00000
1426.42554    0.91126    0.10127    0.00000
1426.75452    0.77788    0.00000    0.00000
1427.08264    0.71049    0.00000    0.00000
1427.41174    0.73741    0.00000    0.00000
1427.74011    0.68784    0.00000    0.00000
1428.06934    0.76936    0.00000    0.00000
1428.39783    0.83997    0.10574    0.00000
1428.72656    0.78661    0.00000    0.00000
1429.05591    0.93684    0.09956    0.00000
1429.38464    0.96600    0.09668    0.00000
1429.71436    0.95254    0.09958    0.00000
1430.04321    1.01343    0.10184    0.00000
1430.37292    0.87465    0.10876    0.00000
1430.70203    1.07543    0.09871    0.00000
1431.03125    0.92566    0.10210    0.00000
1431.36108    0.96030    0.10264    0.00000
1431.69043    0.95568    0.10376    0.00000
1432.02063    0.92953    0.10307    0.00000
1432.35010    0.95357    0.09734    0.00000
1432.68030    0.99403    0.08969    0.00000
1433.00989    0.98369    0.09107    0.00000
1433.33960    0.99406    0.08986    0.00000
1433.67017    0.89766    0.09044    0.00000
1433.99988    1.00337    0.08302    0.00000
1434.33057    0.96954    0.08498    0.00000
1434.66052    1.08078    0.08484    0.00000
1434.99133    1.08637    0.08130    0.00000
1435.32153    1.11001    0.07743    0.00000
1435.65247    1.13942    0.08282    0.00000
1435.98267    0.99106    0.08827    0.00000
1436.31311    1.10626    0.08330    0.00000
1436.64429    1.04413    0.07550    0.00000
1436.97485    0.89362    0.07800    0.00000
1437.30615    0.89357    0.07897    0.00000
1437.63672    0.77952    0.00000    0.00000
1437.96826    0.62329    0.00000    0.00000
1438.29907    0.56778    0.00000    0.00000
1438.63000    0.75538    0.00000    0.00000
1438.96179    0.42355    0.00000    0.00000
1439.29285    0.20024    0.00000    0.00000
1439.62476    0.21211    0.00000    0.00000
1439.95593    0.48692    0.00000    0.00000
1440.28796    0.63495    0.00000    0.00000
1440.61926    0.64369    0.00000    0.00000
1440.95056    0.84111    0.09168    0.00000
1441.28284    0.53373    0.00000    0.00000
1441.61450    0.36092    0.00000    0.00000
1441.94690    0.29086    0.00000    0.00000
1442.27869    0.70499    0.00000    0.00000
1442.61121    0.80551    0.10213    0.00000
1442.94312    0.83243    0.10212    0.00000
1443.27502    0.80504    0.10013    0.00000
1443.60791    0.86070    0.09727    0.00000
1443.93994    0.84267    0.09194    0.00000
1444.27295    0.78304    0.00000    0.00000
1444.60522    0.92489    0.08383    0.00000
1444.93835    0.81551    0.09990    0.00000
1445.27075    0.75077    0.00000    0.00000
1445.60315    0.88358    0.09645    0.00000
