1410.09778    0.91989    0.00781 8388608.00000
1410.42212    1.28277    0.00470 8388608.00000
1410.74744    1.32535    0.01804    0.00000
1411.07190    1.09297    0.06324    0.00000
1411.39722    1.16386    0.08186    0.00000
1411.72205    1.11863    0.09003    0.00000
1412.04749    0.98400    0.10140    0.00000
1412.37231    1.10037    0.10933    0.00000
1412.69739    1.07960    0.10677    0.00000
1413.02307    0.89147    0.11237    0.00000
1413.34814    1.12419    0.09901    0.00000
1413.67407    1.06254    0.09584    0.00000
1413.99927    0.97323    0.09987    0.00000
1414.32532    1.01638    0.10735    0.00000
1414.65076    1.08285    0.10863    0.00000
1414.97607    1.06494    0.10168    0.00000
1415.30249    1.01145    0.10072    0.00000
1415.62805    0.97706    0.10737    0.00000
1415.95435    0.98148    0.11218    0.00000
1416.28015    1.13621    0.10349    0.00000
1416.60669    1.12474    0.09594    0.00000
1416.93274    0.87553    0.09591    0.00000
1417.25867    0.89601    0.09964    0.00000
1417.58545    0.88032    0.10748    0.00000
1417.91150    0.90969    0.11453    0.00000
1418.23840    1.11555    0.10583    0.00000
1418.56482    0.97335    0.10828    0.00000
1418.89185    0.95881    0.10517    0.00000
1419.21838    0.96116    0.10340    0.00000
1419.54480    1.05389    0.09990    0.00000
1419.87219    0.73672    0.00000    0.00000
1420.19873    0.95472    0.10516    0.00000
1420.52625    0.90437    0.11134    0.00000
1420.85303    0.76006    0.00000    0.00000
1421.18079    0.63200    0.00000    0.00000
1421.50757    0.74950    0.00000    0.00000
1421.83472    0.98777    0.09885    0.00000
1422.16248    0.99754    0.09872    0.00000
1422.48975    0.88492    0.10552    0.00000
1422.81775    0.81391    0.00000    0.00000
1423.14502    0.71982    0.00000    0.00000
1423.47327    0.71666    0.00000    0.00000
1423.80066    0.79177    0.00000    0.00000
1424.12830    0.80651    0.00000    0.00000
1424.45654    0.91712    0.10141    0.00000
1424.78430    0.65083    0.00000    0.00000
1425.11292    0.63713    0.00000    0.00000
1425.44067    0.73530    0.00000    0.00000
1425.76941    0.83882    0.10409    0.00000
1426.09741    1.07012    0.09769    0.00000
1426.42554    0.93255    0.10363    0.00000
1426.75452    0.79604    0.00000    0.00000
1427.08264    0.72708    0.00000    0.00000
1427.41174    0.75462    0.00000    0.00000
1427.74011    0.70389    0.00000    0.00000
1428.06934    0.78730    0.00000    0.00000
1428.39783    0.85956    0.10821    0.00000
1428.72656    0.80495    0.00000    0.00000
1429.05591    0.95867    0.10188    0.00000
1429.38464    0.98851    0.09893    0.00000
1429.71436    0.97472    0.10190    0.00000
1430.04321    1.03703    0.10421    0.00000
1430.37292    0.89502    0.11129    0.00000
1430.70203    1.10047    0.10101    0.00000
1431.03125    0.94720    0.10448    0.00000
1431.36108    0.98263    0.10503    0.00000
1431.69043    0.97791    0.10617    0.00000
1432.02063    0.95114    0.10547    0.00000
1432.35010    0.97573    0.09960    0.00000
1432.68030    1.01713    0.09177    0.00000
1433.00989    1.00654    0.09319    0.00000
1433.33960    1.01714    0.09195    0.00000
1433.67017    0.91851    0.09254    0.00000
1433.99988    1.02667    0.08494    0.00000
1434.33057    0.99204    0.08695    0.00000
1434.66052    1.10586    0.08680    0.00000
1434.99133    1.11156    0.08318    0.00000
1435.32153    1.13574    0.07922    0.00000
1435.65247    1.16584    0.08474    0.00000
1435.98267    1.01403    0.09032    0.00000
1436.31311    1.13189    0.08523    0.00000
1436.64429    1.06831    0.07725    0.00000
1436.97485    0.91431    0.07981    0.00000
1437.30615    0.91426    0.08080    0.00000
1437.63672    0.79756    0.00000    0.00000
1437.96826    0.63771    0.00000    0.00000
1438.29907    0.58092    0.00000    0.00000
1438.63000    0.77286    0.00000    0.00000
1438.96179    0.43334    0.00000    0.00000
1439.29285    0.20487    0.00000    0.00000
1439.62476    0.21702    0.00000    0.00000
1439.95593    0.49818    0.00000    0.00000
1440.28796    0.64962    0.00000    0.00000
1440.61926    0.65856    0.00000    0.00000
1440.95056    0.86054    0.09379    0.00000
1441.28284    0.54605    0.00000    0.00000
1441.61450    0.36926    0.00000    0.00000
1441.94690    0.29757    0.00000    0.00000
1442.27869    0.72126    0.00000    0.00000
1442.61121    0.82410    0.10449    0.00000
1442.94312    0.85164    0.10447    0.00000
1443.27502    0.82362    0.10244    0.00000
1443.60791    0.88056    0.09951    0.00000
1443.93994    0.86211    0.09406    0.00000
1444.27295    0.80110    0.00000    0.00000
1444.60522    0.94622    0.08576    0.00000
1444.93835    0.83432    0.10221    0.00000
1445.27075    0.76809    0.00000    0.00000
1445.60315    0.90396    0.09867    0.00000
1445.93652    0.97476    0.08531    0.00000
1446.26917    0.86183    0.08798    0.00000
1446.60266    0.76646    0.00000    0.00000
1446.93542    0.85575    0.09536    0.00000
1447.26904    0.88914    0.10135    0.00000
1447.60205    0.76722    0.00000    0.00000
1447.93518    0.98462    0.09267    0.00000
1448.26904    0.82053    0.09439    0.00000
1448.60217    1.02000    0.09182    0.00000
1448.93628    1.03480    0.09105    0.00000
1449.26953    0.91765    0.09309    0.00000
1449.60376    0.91986    0.09264    0.00000
1449.93726    0.98391    0.08633    0.00000
1450.27075    1.01860    0.08638    0.00000
1450.60510    1.06835    0.08626    0.00000
1450.93896    0.95973    0.09388    0.00000
1451.27356    1.09543    0.08920    0.00000
1451.60742    0.96422    0.08986    0.00000
1451.94214    0.93556    0.08973    0.00000
1452.27612    0.98238    0.09059    0.00000
1452.61023    1.13436    0.08527    0.00000
1452.94519    0.99439    0.08895    0.00000
1453.27942    1.29934    0.07950    0.00000
1453.61462    1.00064    0.08396    0.00000
1453.94897    1.16994    0.07989    0.00000
1454.28418    1.17634    0.07649    0.00000
1454.61890    0.97566    0.07754    0.00000
1454.95349    1.21099    0.07450    0.00000
1455.28894    1.03974    0.08009    0.00000
1455.62366    1.11094    0.07894    0.00000
1455.95935    1.03081    0.08181    0.00000
1456.29431    1.11997    0.08080    0.00000
1456.63013    1.04445    0.08409    0.00000
1456.96521    1.01327    0.08423    0.00000
1457.30042    1.28857    0.07339    0.00000
1457.63647    1.06037    0.08140    0.00000
1457.97180    1.09154    0.07778    0.00000
1458.30798    1.17136    0.06916    0.00000
1458.64355    1.02676    0.06454    0.00000
1458.97986    1.09640    0.06426    0.00000
1459.31543    0.99058    0.07366    0.00000
1459.65112    1.18267    0.07420    0.00000
1459.98779    0.92897    0.08245    0.00000
1460.32361    0.97769    0.08194    0.00000
1460.66040    1.07310    0.07876    0.00000
1460.99646    1.07064    0.07849    0.00000
1461.33325    1.03155    0.07686    0.00000
1461.66956    0.87589    0.05468    0.00000
1462.00659    0.99902    0.07856    0.00000
1462.34290    1.04390    0.07712    0.00000
1462.67932    1.12738    0.07435    0.00000
1463.01660    1.13188    0.07233    0.00000
1463.35315    1.02929    0.07132    0.00000
1463.69067    0.99103    0.06510    0.00000
1464.02734    1.01977    0.05834    0.00000
1464.36499    1.04622    0.05898    0.00000
1464.70178    0.85155    0.06877    0.00000
1465.03882    0.81668    0.07467    0.00000
1465.37659    1.02019    0.06534    0.00000
1465.71362    1.04433    0.06432    0.00000
1466.05176    0.84673    0.07183    0.00000
1466.38892    0.96210    0.07324    0.00000
1466.72717    0.91170    0.07271    0.00000
1467.06445    0.94168    0.07279    0.00000
1467.40210    1.00017    0.06990    0.00000
1467.74036    1.02468    0.06450    0.00000
1468.07812    1.12127    0.05596    0.00000
1468.41650    1.06789    0.05277    0.00000
1468.75439    1.00909    0.05624    0.00000
1469.09302    1.05011    0.06223    0.00000
1469.43103    1.07745    0.06521    0.00000
1469.76904    1.06985    0.06184    0.00000
1470.10803    1.21000    0.05630    0.00000
1470.44617    1.09477    0.05744    0.00000
1470.78528    1.08323    0.05881    0.00000
1471.12354    1.01720    0.06002    0.00000
1471.46289    1.03418    0.06211    0.00000
1471.80139    0.91228    0.06359    0.00000
1472.13989    0.97175    0.06272    0.00000
1472.47949    1.05658    0.05697    0.00000
1472.81812    0.81344    0.06290    0.00000
1473.15784    0.79531    0.06091    0.00000
1473.49670    1.00149    0.05941    0.00000
1473.83643    1.02085    0.05774    0.00000
1474.17554    0.98688    0.05851    0.00000
1474.51465    0.96073    0.06091    0.00000
1474.85474    0.93428    0.06346    0.00000
1475.19397    0.88289    0.06029    0.00000
1475.53418    0.91644    0.05909    0.00000
1475.87366    0.98665    0.05683    0.00000
1476.21399    0.99739    0.05761    0.00000
1476.55347    0.87050    0.06127    0.00000
1476.89319    0.84479    0.06093    0.00000
1477.23389    0.97692    0.05837    0.00000
1477.57361    0.76100    0.00000    0.00000
1477.91431    0.66325    0.00000    0.00000
1478.25439    0.71486    0.00000    0.00000
1478.59534    0.85506    0.05743    0.00000
1478.93530    0.73336    0.00000    0.00000
1479.27563    0.69131    0.00000    0.00000
1479.61670    0.66081    0.00000    0.00000
1479.95703    0.68320    0.00000    0.00000
1480.29834    0.74247    0.00000    0.00000
1480.63892    0.63033    0.00000    0.00000
1480.98035    0.53368    0.00000    0.00000
1481.32104    0.57938    0.00000    0.00000
1481.66174    0.46075    0.00000    0.00000
1482.00354    0.49323    0.00000    0.00000
1482.34448    0.34020    0.00000    0.00000
1482.68628    0.42651    0.00000    0.00000
1483.02734    0.45417    0.00000    0.00000
1483.36926    0.38944    0.00000    0.00000
1483.71057    0.35224    0.00000    0.00000
1484.05188    0.27235    0.00000    0.00000
1484.39417    0.32721    0.00000    0.00000
1484.73560    0.38064    0.00000    0.00000
1485.07788    0.24062    0.00000    0.00000
1485.41956    0.22516    0.00000    0.00000
1485.76208    0.35811    0.00000    0.00000
1486.10400    0.43661    0.00000    0.00000
1486.44580    0.40734    0.00000    0.00000
1486.78857    0.34862    0.00000    0.00000
1487.13074    0.49096    0.00000    0.00000
1487.47351    0.47082    0.00000    0.00000
1487.81567    0.43397    0.00000    0.00000
1488.15881    0.43754    0.00000    0.00000
1488.50122    0.45370    0.00000    0.00000
1488.84436    0.28714    0.00000    0.00000
1489.18689    0.38875    0.00000    0.00000
1489.52954    0.60918    0.00000    0.00000
1489.87305    0.40852    0.00000    0.00000
1490.21582    0.43816    0.00000    0.00000
1490.55945    0.30369    0.00000    0.00000
1490.90234    0.25210    0.00000    0.00000
1491.24609    0.22689    0.00000    0.00000
1491.58923    0.38214    0.00000    0.00000
1491.93237    0.40699    0.00000    0.00000
1492.27637    0.53595    0.00000    0.00000
1492.61963    0.53618    0.00000    0.00000
1492.96387    0.43811    0.00000    0.00000
1493.30725    0.51768    0.00000    0.00000
1493.65161    0.52965    0.00000    0.00000
1493.99524    0.41821    0.00000    0.00000
1494.33899    0.56344    0.00000    0.00000
1494.68347    0.50948    0.00000    0.00000
1495.02734    0.35093    0.00000    0.00000
1495.37207    0.41124    0.00000    0.00000
1495.71606    0.33054    0.00000    0.00000
1496.06104    0.53552    0.00000    0.00000
1496.40515    0.36959    0.00000    0.00000
1496.74939    0.41814    0.00000    0.00000
1497.09448    0.61693    0.00000    0.00000
1497.43896    0.54933    0.00000    0.00000
1497.78430    0.45842    0.00000    0.00000
1498.12891    0.54867    0.00000    0.00000
1498.47437    0.54933    0.00000    0.00000
1498.81909    0.45220    0.00000    0.00000
1499.16382    0.49910    0.00000    0.00000
1499.50952    0.41662    0.00000    0.00000
1499.85449    0.48422    0.00000    0.00000
1500.20044    0.54659    0.00000    0.00000
1500.54553    0.44743    0.00000    0.00000
1500.89148    0.46590    0.00000    0.00000
1501.23682    0.46612    0.00000    0.00000
1501.58215    0.43356    0.00000    0.00000
1501.92847    0.42410    0.00000    0.00000
1502.27393    0.38220    0.00000    0.00000
1502.62036    0.33706    0.00000    0.00000
