1410.09778    0.93765    0.00796 8388608.00000
1410.42212    1.30749    0.00480 8388608.00000
1410.74744    1.35085    0.01839    0.00000
1411.07190    1.11397    0.06446    0.00000
1411.39722    1.18618    0.08343    0.00000
1411.72205    1.14003    0.09176    0.00000
1412.04749    1.00280    0.10334    0.00000
1412.37231    1.12135    0.11142    0.00000
1412.69739    1.10014    0.10880    0.00000
1413.02307    0.90840    0.11450    0.00000
1413.34814    1.14549    0.10089    0.00000
1413.67407    1.08263    0.09766    0.00000
1413.99927    0.99159    0.10175    0.00000
1414.32532    1.03551    0.10937    0.00000
1414.65076    1.10319    0.11067    0.00000
1414.97607    1.08489    0.10359    0.00000
1415.30249    1.03035    0.10260    0.00000
1415.62805    0.99527    0.10937    0.00000
1415.95435    0.99972    0.11426    0.00000
1416.28015    1.15727    0.10541    0.00000
1416.60669    1.14553    0.09772    0.00000
1416.93274    0.89166    0.09768    0.00000
1417.25867    0.91248    0.10147    0.00000
1417.58545    0.89645    0.10945    0.00000
1417.91150    0.92630    0.11663    0.00000
1418.23840    1.13586    0.10776    0.00000
1418.56482    0.99102    0.11025    0.00000
1418.89185    0.97615    0.10707    0.00000
1419.21838    0.97849    0.10526    0.00000
1419.54480    1.07282    0.10169    0.00000
1419.87219    0.74990    0.00000    0.00000
1420.19873    0.97174    0.10704    0.00000
1420.52625    0.92043    0.11331    0.00000
1420.85303    0.77351    0.00000    0.00000
1421.18079    0.64314    0.00000    0.00000
1421.50757    0.76266    0.00000    0.00000
1421.83472    1.00503    0.10058    0.00000
1422.16248    1.01490    0.10044    0.00000
1422.48975    0.90025    0.10735    0.00000
1422.81775    0.82795    0.00000    0.00000
1423.14502    0.73218    0.00000    0.00000
1423.47327    0.72891    0.00000    0.00000
1423.80066    0.80524    0.00000    0.00000
1424.12830    0.82016    0.00000    0.00000
1424.45654    0.93257    0.10312    0.00000
1424.78430    0.66174    0.00000    0.00000
1425.11292    0.64775    0.00000    0.00000
1425.44067    0.74749    0.00000    0.00000
1425.76941    0.85264    0.10581    0.00000
1426.09741    1.08766    0.09930    0.00000
1426.42554    0.94774    0.10532    0.00000
1426.75452    0.80894    0.00000    0.00000
1427.08264    0.73879    0.00000    0.00000
1427.41174    0.76670    0.00000    0.00000
1427.74011    0.71508    0.00000    0.00000
1428.06934    0.79974    0.00000    0.00000
1428.39783    0.87305    0.10991    0.00000
1428.72656    0.81750    0.00000    0.00000
1429.05591    0.97351    0.10345    0.00000
1429.38464    1.00370    0.10045    0.00000
1429.71436    0.98960    0.10346    0.00000
1430.04321    1.05274    0.10579    0.00000
1430.37292    0.90847    0.11296    0.00000
1430.70203    1.11688    0.10252    0.00000
1431.03125    0.96121    0.10602    0.00000
1431.36108    0.99705    0.10657    0.00000
1431.69043    0.99214    0.10771    0.00000
1432.02063    0.96486    0.10699    0.00000
1432.35010    0.98969    0.10102    0.00000
1432.68030    1.03155    0.09307    0.00000
1433.00989    1.02068    0.09450    0.00000
1433.33960    1.03129    0.09323    0.00000
1433.67017    0.93116    0.09382    0.00000
1433.99988    1.04067    0.08610    0.00000
1434.33057    1.00544    0.08812    0.00000
1434.66052    1.12064    0.08796    0.00000
