1410.09778    0.92178    0.00782 8388608.00000
1410.42212    1.28540    0.00471 8388608.00000
1410.74744    1.32807    0.01808    0.00000
1411.07190    1.09521    0.06337    0.00000
1411.39722    1.16625    0.08203    0.00000
1411.72205    1.12092    0.09022    0.00000
1412.04749    0.98602    0.10161    0.00000
1412.37231    1.10263    0.10956    0.00000
1412.69739    1.08182    0.10699    0.00000
1413.02307    0.89330    0.11260    0.00000
1413.34814    1.12650    0.09921    0.00000
1413.67407    1.06472    0.09604    0.00000
1413.99927    0.97522    0.10007    0.00000
1414.32532    1.01847    0.10757    0.00000
1414.65076    1.08507    0.10886    0.00000
1414.97607    1.06713    0.10189    0.00000
1415.30249    1.01352    0.10092    0.00000
1415.62805    0.97907    0.10759    0.00000
1415.95435    0.98349    0.11241    0.00000
1416.28015    1.13854    0.10370    0.00000
1416.60669    1.12705    0.09614    0.00000
1416.93274    0.87732    0.09611    0.00000
1417.25867    0.89785    0.09985    0.00000
1417.58545    0.88212    0.10770    0.00000
1417.91150    0.91155    0.11477    0.00000
1418.23840    1.11784    0.10605    0.00000
1418.56482    0.97535    0.10850    0.00000
1418.89185    0.96078    0.10538    0.00000
1419.21838    0.96313    0.10361    0.00000
1419.54480    1.05605    0.10010    0.00000
1419.87219    0.73823    0.00000    0.00000
1420.19873    0.95668    0.10538    0.00000
1420.52625    0.90623    0.11156    0.00000
1420.85303    0.76162    0.00000    0.00000
1421.18079    0.63330    0.00000    0.00000
1421.50757    0.75104    0.00000    0.00000
1421.83472    0.98979    0.09905    0.00000
1422.16248    0.99958    0.09892    0.00000
1422.48975    0.88673    0.10573    0.00000
1422.81775    0.81558    0.00000    0.00000
1423.14502    0.72129    0.00000    0.00000
1423.47327    0.71814    0.00000    0.00000
1423.80066    0.79340    0.00000    0.00000
1424.12830    0.80817    0.00000    0.00000
1424.45654    0.91901    0.10162    0.00000
1424.78430    0.65217    0.00000    0.00000
1425.11292    0.63844    0.00000    0.00000
1425.44067    0.73681    0.00000    0.00000
1425.76941    0.84054    0.10430    0.00000
1426.09741    1.07232    0.09789    0.00000
1426.42554    0.93446    0.10385    0.00000
1426.75452    0.79768    0.00000    0.00000
1427.08264    0.72857    0.00000    0.00000
1427.41174    0.75617    0.00000    0.00000
1427.74011    0.70533    0.00000    0.00000
1428.06934    0.78892    0.00000    0.00000
1428.39783    0.86133    0.10843    0.00000
1428.72656    0.80660    0.00000    0.00000
1429.05591    0.96064    0.10209    0.00000
1429.38464    0.99054    0.09914    0.00000
1429.71436    0.97673    0.10211    0.00000
1430.04321    1.03916    0.10443    0.00000
1430.37292    0.89686    0.11152    0.00000
1430.70203    1.10273    0.10122    0.00000
1431.03125    0.94914    0.10469    0.00000
1431.36108    0.98465    0.10524    0.00000
1431.69043    0.97992    0.10639    0.00000
1432.02063    0.95310    0.10569    0.00000
1432.35010    0.97774    0.09980    0.00000
1432.68030    1.01922    0.09196    0.00000
1433.00989    1.00861    0.09338    0.00000
1433.33960    1.01924    0.09214    0.00000
1433.67017    0.92040    0.09273    0.00000
1433.99988    1.02878    0.08512    0.00000
1434.33057    0.99408    0.08713    0.00000
1434.66052    1.10813    0.08698    0.00000
1434.99133    1.11385    0.08335    0.00000
1435.32153    1.13808    0.07939    0.00000
1435.65247    1.16824    0.08491    0.00000
1435.98267    1.01612    0.09051    0.00000
1436.31311    1.13422    0.08540    0.00000
1436.64429    1.07051    0.07741    0.00000
1436.97485    0.91620    0.07998    0.00000
1437.30615    0.91615    0.08097    0.00000
1437.63672    0.79921    0.00000    0.00000
1437.96826    0.63903    0.00000    0.00000
1438.29907    0.58212    0.00000    0.00000
1438.63000    0.77445    0.00000    0.00000
1438.96179    0.43424    0.00000    0.00000
1439.29285    0.20530    0.00000    0.00000
1439.62476    0.21746    0.00000    0.00000
1439.95593    0.49920    0.00000    0.00000
1440.28796    0.65097    0.00000    0.00000
1440.61926    0.65993    0.00000    0.00000
1440.95056    0.86232    0.09399    0.00000
1441.28284    0.54719    0.00000    0.00000
1441.61450    0.37002    0.00000    0.00000
1441.94690    0.29819    0.00000    0.00000
1442.27869    0.72276    0.00000    0.00000
1442.61121    0.82581    0.10471    0.00000
1442.94312    0.85341    0.10469    0.00000
1443.27502    0.82533    0.10266    0.00000
1443.60791    0.88239    0.09972    0.00000
1443.93994    0.86391    0.09426    0.00000
1444.27295    0.80277    0.00000    0.00000
1444.60522    0.94820    0.08594    0.00000
1444.93835    0.83607    0.10242    0.00000
1445.27075    0.76969    0.00000    0.00000
1445.60315    0.90585    0.09888    0.00000
1445.93652    0.97680    0.08549    0.00000
1446.26917    0.86364    0.08817    0.00000
1446.60266    0.76807    0.00000    0.00000
1446.93542    0.85755    0.09557    0.00000
1447.26904    0.89102    0.10156    0.00000
1447.60205    0.76884    0.00000    0.00000
1447.93518    0.98670    0.09286    0.00000
