1410.09778    0.93990    0.00798 8388608.00000
1410.42212    1.31053    0.00481 8388608.00000
1410.74744    1.35389    0.01843    0.00000
1411.07190    1.11639    0.06460    0.00000
1411.39722    1.18867    0.08361    0.00000
1411.72205    1.14235    0.09194    0.00000
1412.04749    1.00476    0.10354    0.00000
1412.37231    1.12346    0.11163    0.00000
1412.69739    1.10213    0.10900    0.00000
1413.02307    0.90998    0.11470    0.00000
1413.34814    1.14740    0.10105    0.00000
1413.67407    1.08436    0.09781    0.00000
1413.99927    0.99310    0.10191    0.00000
1414.32532    1.03702    0.10953    0.00000
1414.65076    1.10471    0.11083    0.00000
1414.97607    1.08632    0.10373    0.00000
1415.30249    1.03163    0.10273    0.00000
1415.62805    0.99645    0.10950    0.00000
1415.95435    1.00084    0.11439    0.00000
1416.28015    1.15848    0.10552    0.00000
1416.60669    1.14666    0.09781    0.00000
1416.93274    0.89248    0.09777    0.00000
1417.25867    0.91325    0.10156    0.00000
1417.58545    0.89715    0.10954    0.00000
1417.91150    0.92697    0.11671    0.00000
1418.23840    1.13661    0.10783    0.00000
1418.56482    0.99161    0.11031    0.00000
1418.89185    0.97667    0.10713    0.00000
1419.21838    0.97895    0.10531    0.00000
1419.54480    1.07326    0.10173    0.00000
1419.87219    0.75016    0.00000    0.00000
1420.19873    0.97203    0.10707    0.00000
1420.52625    0.92065    0.11334    0.00000
1420.85303    0.77365    0.00000    0.00000
1421.18079    0.64322    0.00000    0.00000
1421.50757    0.76270    0.00000    0.00000
1421.83472    1.00503    0.10058    0.00000
1422.16248    1.01484    0.10043    0.00000
1422.48975    0.90015    0.10733    0.00000
1422.81775    0.82782    0.00000    0.00000
1423.14502    0.73202    0.00000    0.00000
1423.47327    0.72872    0.00000    0.00000
1423.80066    0.80498    0.00000    0.00000
1424.12830    0.81985    0.00000    0.00000
1424.45654    0.93217    0.10307    0.00000
1424.78430    0.66142    0.00000    0.00000
1425.11292    0.64741    0.00000    0.00000
1425.44067    0.74705    0.00000    0.00000
1425.76941    0.85211    0.10574    0.00000
1426.09741    1.08693    0.09923    0.00000
1426.42554    0.94706    0.10525    0.00000
1426.75452    0.80832    0.00000    0.00000
1427.08264    0.73818    0.00000    0.00000
1427.41174    0.76604    0.00000    0.00000
1427.74011    0.71443    0.00000    0.00000
1428.06934    0.79898    0.00000    0.00000
1428.39783    0.87218    0.10980    0.00000
1428.72656    0.81665    0.00000    0.00000
1429.05591    0.97247    0.10334    0.00000
1429.38464    1.00258    0.10034    0.00000
1429.71436    0.98845    0.10334    0.00000
1430.04321    1.05148    0.10566    0.00000
1430.37292    0.90735    0.11282    0.00000
1430.70203    1.11545    0.10239    0.00000
1431.03125    0.95995    0.10588    0.00000
1431.36108    0.99571    0.10642    0.00000
1431.69043    0.99076    0.10756    0.00000
1432.02063    0.96349    0.10684    0.00000
1432.35010    0.98825    0.10088    0.00000
1432.68030    1.03001    0.09293    0.00000
1433.00989    1.01912    0.09435    0.00000
1433.33960    1.02969    0.09308    0.00000
