1410.09778    0.68583    0.00582 8388608.00000
1410.42212    0.95698    0.00351 8388608.00000
1410.74744    0.98938    0.01347    0.00000
1411.07190    0.81643    0.04724    0.00000
1411.39722    0.86994    0.06119    0.00000
1411.72205    0.83666    0.06734    0.00000
1412.04749    0.73644    0.07589    0.00000
1412.37231    0.82406    0.08188    0.00000
1412.69739    0.80902    0.08001    0.00000
1413.02307    0.66847    0.08426    0.00000
1413.34814    0.84351    0.07429    0.00000
1413.67407    0.79776    0.07196    0.00000
1413.99927    0.73117    0.07503    0.00000
1414.32532    0.76408    0.08070    0.00000
1414.65076    0.81457    0.08172    0.00000
1414.97607    0.80161    0.07654    0.00000
1415.30249    0.76183    0.07586    0.00000
1415.62805    0.73640    0.08092    0.00000
1415.95435    0.74020    0.08460    0.00000
1416.28015    0.85744    0.07810    0.00000
1416.60669    0.84933    0.07245    0.00000
1416.93274    0.66156    0.07247    0.00000
1417.25867    0.67747    0.07534    0.00000
1417.58545    0.66603    0.08132    0.00000
1417.91150    0.68869    0.08671    0.00000
1418.23840    0.84508    0.08017    0.00000
1418.56482    0.73783    0.08208    0.00000
1418.89185    0.72727    0.07977    0.00000
1419.21838    0.72952    0.07848    0.00000
1419.54480    0.80041    0.07587    0.00000
1419.87219    0.55988    0.08400    0.00000
1420.19873    0.72602    0.07997    0.00000
1420.52625    0.68817    0.08472    0.00000
1420.85303    0.57873    0.09520    0.00000
1421.18079    0.48153    0.10051    0.00000
1421.50757    0.57142    0.08982    0.00000
1421.83472    0.75355    0.07541    0.00000
1422.16248    0.76149    0.07536    0.00000
1422.48975    0.67595    0.08060    0.00000
1422.81775    0.62211    0.08529    0.00000
1423.14502    0.55054    0.09342    0.00000
1423.47327    0.54848    0.09444    0.00000
1423.80066    0.60635    0.08961    0.00000
1424.12830    0.61803    0.08271    0.00000
1424.45654    0.70324    0.07776    0.00000
1424.78430    0.49937    0.08872    0.00000
1425.11292    0.48917    0.09048    0.00000
1425.44067    0.56490    0.08332    0.00000
1425.76941    0.64484    0.08002    0.00000
