Less than Three epochs:  331.59047	  18.02924	  3.3391	[(7572, 56944, 62), (5029, 55750, 525)]
Less than Three epochs:  329.37886	  18.77355	  2.9984	[(5020, 55852, 840), (7572, 56944, 564)]
Less than Three epochs:  330.85397	  19.96601	  1.8987	[(5021, 55863, 694), (7572, 56944, 872)]
Less than Three epochs:  328.85367	  18.98388	  2.1515	[(7573, 56946, 166), (5020, 55852, 748)]
Less than Three epochs:  331.73882	  19.13619	  3.5871	[(5021, 55863, 144), (7574, 56945, 531)]
Less than Three epochs:  333.46683	  19.35300	  2.8502	[(7574, 56945, 925), (5023, 55858, 392)]
Less than Three epochs:  331.19531	  19.73098	  2.4979	[(5021, 55863, 280), (7575, 56947, 162)]
Less than Three epochs:  331.23749	  20.12100	  2.4533	[(5021, 55863, 770), (7575, 56947, 170)]
Less than Three epochs:  331.14520	  20.36367	  3.1916	[(7575, 56947, 186), (5021, 55863, 751)]
Less than Three epochs:  329.40239	  21.90242	  2.7511	[(7576, 56948, 136), (5949, 56096, 23)]
Less than Three epochs:  328.09941	  23.77440	  2.5864	[(7576, 56948, 675), (5952, 56453, 474)]
Less than Three epochs:  337.31116	  18.35030	  2.2720	[(5024, 55854, 140), (7577, 56944, 120)]
Less than Three epochs:  337.26113	  17.96405	  2.8992	[(7577, 56944, 180), (5031, 56209, 682)]
Less than Three epochs:  336.94694	  18.12305	  2.3150	[(7577, 56944, 224), (5031, 56209, 596)]
Less than Three epochs:  337.94613	  18.71527	  2.6630	[(7577, 56944, 999), (5025, 55836, 462)]
Less than Three epochs:  334.69800	  20.70338	  1.6986	[(7578, 56956, 758), (5946, 56101, 332)]
Less than Three epochs:  333.24374	  21.28951	  2.9149	[(7579, 56954, 186), (5947, 56093, 102)]
Less than Three epochs:  333.11951	  21.67277	  2.4156	[(7579, 56954, 230), (5947, 56093, 210)]
Less than Three epochs:  333.08815	  20.63726	  3.7825	[(5947, 56093, 168), (7579, 56954, 241)]
Less than Three epochs:  332.92061	  21.37753	  2.2865	[(7579, 56954, 270), (5947, 56093, 265)]
Less than Three epochs:  332.12423	  22.24239	  3.0550	[(7579, 56954, 570), (5947, 56093, 644)]
Less than Three epochs:  332.44193	  23.29972	  2.7886	[(5951, 56102, 70), (7580, 56955, 14)]
Less than Three epochs:  332.43776	  23.34449	  2.3832	[(5951, 56102, 62), (7580, 56955, 18)]
Less than Three epochs:  335.95762	  22.33067	  2.5778	[(6299, 56478, 414), (7583, 56958, 67)]
Less than Three epochs:  335.61849	  21.40474	  2.9965	[(5946, 56101, 154), (7583, 56958, 126)]
Less than Three epochs:  334.07778	  22.11216	  2.5003	[(7583, 56958, 464), (5950, 56211, 281)]
Less than Three epochs:  341.32492	  19.51719	  3.2992	[(5026, 55855, 812), (7584, 56957, 158)]
Less than Three epochs:  341.76891	  20.80635	  2.3466	[(6120, 56206, 346), (7584, 56957, 943)]
Less than Three epochs:  339.40059	  20.61884	  2.7785	[(7585, 57190, 176), (5025, 55836, 810)]
Less than Three epochs:  338.22464	  21.68837	  3.5525	[(7585, 57190, 572), (6119, 56181, 522)]
Less than Three epochs:  338.56722	  21.70692	  1.7407	[(7585, 57190, 650), (6119, 56181, 562)]
Less than Three epochs:  339.75326	  21.65466	  3.0268	[(7585, 57190, 892), (6119, 56181, 804)]
Less than Three epochs:  337.52727	  21.98569	  2.8748	[(7586, 57186, 248), (6118, 56189, 832)]
Less than Three epochs:  337.42173	  24.46549	  2.3378	[(6299, 56478, 909), (7586, 57186, 712)]
Less than Three epochs:  337.50364	  23.95159	  2.3617	[(7586, 57186, 728), (6299, 56478, 912)]
Less than Three epochs:  342.53088	  22.16995	  2.3906	[(7587, 57297, 25), (6120, 56206, 788)]
Less than Three epochs:  340.52176	  21.92296	  3.1506	[(7587, 57297, 422), (6119, 56181, 913)]
Less than Three epochs:  340.99646	  22.52998	  2.7066	[(7587, 57297, 698), (6307, 56205, 224)]
Less than Three epochs:  341.94374	  23.64366	  2.3356	[(7587, 57297, 906), (6290, 56238, 252)]
Less than Three epochs:    9.88235	  17.54044	  3.1887	[(6193, 56237, 216), (7588, 56903, 124)]
Less than Three epochs:    8.07582	  20.17591	  3.3878	[(6187, 56244, 762), (7589, 56946, 158)]
Less than Three epochs:    5.44703	  18.95791	  2.8581	[(7590, 56944, 566), (6180, 56301, 332)]
Less than Three epochs:    7.69919	  18.57855	  2.6464	[(7590, 56944, 995), (6186, 56246, 842)]
Less than Three epochs:    6.88503	  21.87271	  3.3999	[(6181, 56239, 692), (7591, 56954, 76)]
Less than Three epochs:    5.44991	  22.18372	  2.9777	[(7591, 56954, 738), (6882, 56541, 368)]
Less than Three epochs:    5.48030	  23.20912	  2.8121	[(7591, 56954, 743), (6882, 56541, 388)]
Less than Three epochs:    3.38924	  20.23982	  2.8135	[(7592, 56947, 590), (6174, 56243, 756)]
Less than Three epochs:    5.29606	  20.35793	  3.2677	[(7592, 56947, 922), (6180, 56301, 610)]
Less than Three epochs:    2.97019	  20.40086	  2.7539	[(6174, 56243, 672), (7593, 56958, 201)]
Less than Three epochs:    3.01782	  22.91465	  2.4175	[(7593, 56958, 828), (6881, 56540, 398)]
Less than Three epochs:    3.53852	  18.95711	  2.7635	[(6111, 56270, 822), (7594, 56947, 31)]
Less than Three epochs:    1.18919	  18.45062	  2.0754	[(7594, 56947, 444), (6173, 56238, 728)]
Less than Three epochs:    2.29304	  20.49555	  2.0806	[(7594, 56947, 789), (6171, 56311, 198)]
Less than Three epochs:    0.48347	  21.94097	  2.2171	[(6879, 56539, 330), (7595, 56957, 852)]
Less than Three epochs:    1.20135	  18.94329	  1.7147	[(7596, 56945, 36), (6170, 56240, 222)]
Less than Three epochs:    0.36083	  18.12391	  3.5796	[(7596, 56945, 48), (6170, 56240, 404)]
Less than Three epochs:  357.43372	  22.19320	  3.3643	[(7597, 56973, 394), (6521, 56537, 470)]
Less than Three epochs:  358.27404	  23.56707	  3.1892	[(6521, 56537, 758), (7597, 56973, 774)]
Less than Three epochs:  357.31734	  20.76791	  2.7988	[(6117, 56272, 186), (7598, 56956, 332)]
Less than Three epochs:  358.46549	  21.33884	  2.9831	[(7598, 56956, 927), (6117, 56272, 996)]
Less than Three epochs:  357.49079	  19.64934	  3.2885	[(7599, 56955, 826), (6127, 56274, 538)]
Less than Three epochs:  354.47589	  22.61175	  3.7094	[(7600, 56984, 467), (6116, 56245, 746)]
Less than Three epochs:  354.02911	  19.43101	  2.2354	[(7601, 56959, 362), (6125, 56273, 273)]
Less than Three epochs:  353.20647	  17.80479	  3.0649	[(7602, 56954, 427), (6131, 56211, 64)]
Less than Three epochs:  353.53238	  18.45852	  1.8612	[(7602, 56954, 451), (6132, 56267, 560)]
Less than Three epochs:  353.47386	  18.64788	  2.7583	[(7602, 56954, 580), (6125, 56273, 374)]
Less than Three epochs:  354.48381	  18.83746	  2.1494	[(7602, 56954, 776), (6132, 56267, 678)]
Less than Three epochs:  355.32834	  19.46816	  1.7670	[(7602, 56954, 910)]
Less than Three epochs:  352.44740	  22.11219	  2.4649	[(7603, 56960, 400), (6115, 56237, 842)]
Less than Three epochs:  354.06727	  23.00152	  2.3136	[(6519, 56566, 152), (7603, 56960, 968)]
Less than Three epochs:  354.43883	  23.06843	  2.9559	[(7603, 56960, 991), (6519, 56566, 68)]
Less than Three epochs:  352.82936	  18.96757	  2.2956	[(7604, 56947, 47), (6124, 56211, 44)]
Less than Three epochs:  351.23958	  19.88764	  2.2376	[(7604, 56947, 620), (6124, 56211, 660)]
Less than Three epochs:  352.24299	  21.02322	  3.1042	[(7604, 56947, 827), (6115, 56237, 260)]
Less than Three epochs:  345.16316	  18.28816	  2.8761	[(7608, 56945, 234), (6128, 56236, 366)]
Less than Three epochs:  344.78639	  18.41174	  2.9039	[(7608, 56945, 352), (6128, 56236, 470)]
Less than Three epochs:  345.91884	  19.46967	  2.8726	[(6128, 56236, 796), (7608, 56945, 914)]
